[21:52:17:027] [main/INFO]: Start GameLogicHandler
[21:52:17:036] [main/INFO]: Load mobs
[21:52:17:486] [main/INFO]: Load stores
[21:52:17:567] [main/INFO]: Load locations
[21:52:17:576] [main/INFO]: Start NetworkSystem
[21:52:23:890] [nioEventLoopGroup-0-0/INFO]: Соединение установлено
[21:52:23:920] [nioEventLoopGroup-0-1/INFO]: Decoder HANDSHAKING, packet CHandshake, id 0, size 3
[23:51:07:885] [nioEventLoopGroup-0-21/INFO]: Decoder PLAY, packet CPacketAction, id 0, size 15
[23:51:07:893] [nioEventLoopGroup-0-21/INFO]: Encoder PLAY, packet SPacketActionReturn, id 5, size 8
[23:51:08:713] [nioEventLoopGroup-0-21/INFO]: Decoder PLAY, packet CPacketAction, id 0, size 15
[23:51:08:723] [nioEventLoopGroup-0-21/INFO]: Encoder PLAY, packet SPacketActionReturn, id 5, size 8
[23:51:09:847] [nioEventLoopGroup-0-21/INFO]: Decoder PLAY, packet CPacketAction, id 0, size 15
[23:51:09:854] [nioEventLoopGroup-0-21/INFO]: Encoder PLAY, packet SPacketActionReturn, id 5, size 8
[23:51:10:825] [nioEventLoopGroup-0-21/INFO]: Decoder PLAY, packet CPacketAction, id 0, size 15
[23:51:10:836] [nioEventLoopGroup-0-21/INFO]: Encoder PLAY, packet SPacketActionReturn, id 5, size 8
[23:51:11:978] [nioEventLoopGroup-0-21/INFO]: Decoder PLAY, packet CPacketAction, id 0, size 15
[23:51:11:983] [nioEventLoopGroup-0-21/INFO]: Encoder PLAY, packet SPacketActionReturn, id 5, size 8
[23:51:13:137] [nioEventLoopGroup-0-21/INFO]: Decoder PLAY, packet CPacketAction, id 0, size 15
[23:51:13:146] [nioEventLoopGroup-0-21/INFO]: Encoder PLAY, packet SPacketActionReturn, id 5, size 8
[23:51:14:089] [nioEventLoopGroup-0-21/INFO]: Decoder PLAY, packet CPacketAction, id 0, size 15
[23:51:14:095] [nioEventLoopGroup-0-21/INFO]: Encoder PLAY, packet SPacketActionReturn, id 5, size 8
[23:51:15:037] [nioEventLoopGroup-0-17/INFO]: Decoder PLAY, packet CPacketAction, id 0, size 15
[23:51:15:047] [nioEventLoopGroup-0-17/INFO]: Encoder PLAY, packet SPacketActionReturn, id 5, size 8
[23:51:15:751] [nioEventLoopGroup-0-17/INFO]: Decoder PLAY, packet CPacketAction, id 0, size 15
[23:51:15:759] [nioEventLoopGroup-0-17/INFO]: Encoder PLAY, packet SPacketActionReturn, id 5, size 8
[23:51:16:895] [nioEventLoopGroup-0-9/INFO]: Decoder PLAY, packet CPacketAction, id 0, size 15
[23:51:16:905] [nioEventLoopGroup-0-9/INFO]: Encoder PLAY, packet SPacketActionReturn, id 5, size 8
[23:51:18:740] [nioEventLoopGroup-0-20/INFO]: Decoder PLAY, packet CPacketAction, id 0, size 15
[23:51:18:747] [nioEventLoopGroup-0-20/INFO]: Encoder PLAY, packet SPacketActionReturn, id 5, size 8
[23:51:19:358] [nioEventLoopGroup-0-21/INFO]: Decoder PLAY, packet CPacketAction, id 0, size 15
[23:51:19:367] [nioEventLoopGroup-0-21/INFO]: Encoder PLAY, packet SPacketActionReturn, id 5, size 8
[23:51:20:239] [nioEventLoopGroup-0-0/INFO]: Decoder PLAY, packet CPacketAction, id 0, size 15
[23:51:20:246] [nioEventLoopGroup-0-0/INFO]: Encoder PLAY, packet SPacketActionReturn, id 5, size 8
[23:51:20:755] [nioEventLoopGroup-0-0/INFO]: Decoder PLAY, packet CPacketAction, id 0, size 15
[23:51:20:763] [nioEventLoopGroup-0-0/INFO]: Encoder PLAY, packet SPacketActionReturn, id 5, size 8
[23:51:21:777] [nioEventLoopGroup-0-0/INFO]: Decoder PLAY, packet CPacketAction, id 0, size 15
[23:51:21:785] [nioEventLoopGroup-0-0/INFO]: Encoder PLAY, packet SPacketActionReturn, id 5, size 8
[23:51:29:096] [nioEventLoopGroup-0-20/INFO]: Соединение разорвано
